,0,0,0
288,2018-05-11T13:07:56.38,lightshad3z,curve higher pls
289,2018-05-11T13:07:56.94,SebiMk,Best 4 drop is Priest of the feast EZ
290,2018-05-11T13:08:08.11,lightshad3z,best 4 drop is 7/7 EZ
291,2018-05-11T13:08:11.44,Agera153,"I meant in standard, but true"
292,2018-05-11T13:08:14.85,astrobutt,Amaz if you hit a minion with a lifesteal weapon and they have 4 atk and you have 4 health left do you die or gain the health back
293,2018-05-11T13:08:18.38,MlMl2,I got 12 wins with paladin today @amazhs
294,2018-05-11T13:08:24.29,kevandaweeb,remember the times when Amaz was a priest specialist? FeelsBadMan
295,2018-05-11T13:08:26.67,chrisselol,3-3 EZ Clap
296,2018-05-11T13:08:32.97,rabiet98,why dont you like perditions blade??
297,2018-05-11T13:08:35.67,チョマ,🤔
298,2018-05-11T13:08:37.92,Talynpl,@kevandaweeb PepeHands
299,2018-05-11T13:08:40.16,spikebaal,Kappa
300,2018-05-11T13:08:41.07,Randy_Randerson322,wurm
301,2018-05-11T13:08:45.09,sillywalnut,@astrobutt you take dmg first
302,2018-05-11T13:08:47.59,nighthawk745,monkaStare
303,2018-05-11T13:08:50.60,kevandaweeb,now im watching his amaz03
304,2018-05-11T13:08:52.27,Talynpl,"@AmazHS New expansion of Darkest Dungeon coming soon, keep that in mind"
305,2018-05-11T13:08:53.14,SebiMk,monkaS I've heard thunder. I'm spooked
306,2018-05-11T13:08:55.80,leon200101,best 4 drop is 20/20 the darkness
307,2018-05-11T13:08:56.4,reborn199,Only gold cards
308,2018-05-11T13:08:57.7,kevandaweeb,FeelsBadMan
309,2018-05-11T13:09:00.82,estogaza_,"@pimmie001 starving for attention, you are"
310,2018-05-11T13:09:01.95,angela495,Go golden
311,2018-05-11T13:09:07.07,lightshad3z,wurm pls
312,2018-05-11T13:09:08.23,チョマ,@kevandaweeb are you okay? VoHiYo
313,2018-05-11T13:09:09.98,HolyDarknessQQ,@leon200101 LUL
314,2018-05-11T13:09:19.25,Agera153,No golden betrayal DansGame
315,2018-05-11T13:09:20.94,SebiMk,today :)
316,2018-05-11T13:09:24.15,Neonldas,@kevandaweeb amaz3 take the love
317,2018-05-11T13:09:24.62,チョマ,LuL
318,2018-05-11T13:09:25.00,kevandaweeb,@チョマ yeah VoHiYo
319,2018-05-11T13:09:25.83,djahaha_,19.07
320,2018-05-11T13:09:26.32,Yuri_Boiko,OVERCONFIDENCE monkaS
321,2018-05-11T13:09:28.19,cerrolus,chat moving slow monkaS
322,2018-05-11T13:09:29.18,zamasunaru,"@astrobutt You take the damage and get the lifesteal back right after it, will still survive after the damage"
323,2018-05-11T13:09:29.74,spikebaal,Golden Kappa Check
324,2018-05-11T13:09:31.10,チョマ,@kevandaweeb great amaz3
325,2018-05-11T13:09:33.72,kit432,Kappa
326,2018-05-11T13:09:34.45,imarat,no golden betrayal? Feels bad man
327,2018-05-11T13:09:34.,lightshad3z,Kappa
328,2018-05-11T13:09:3,Kel_Ebek,DansGame non-golden
329,2018-05-11T13:09:38.84,Agera153,Kappa
330,2018-05-11T13:09:39.00,Neonldas,1320 people monkaS
331,2018-05-11T13:09:42.35,daemomcheg,Greetings chat
332,2018-05-11T13:09:42.78,astrobutt,@zamasunaru thanks man
333,2018-05-11T13:09:43.48,spikebaal,non golden cards Kappa
334,2018-05-11T13:09:44.22,Tinster101,BACK TO THE PIT HYPERLUL
335,2018-05-11T13:09:45.73,Talynpl,@AmazHS 19 June
336,2018-05-11T13:09:45.80,SebiMk,"monkaS Oh, god chat overusing monka again"
337,2018-05-11T13:09:51.5,Agera153,Craft it golden
338,2018-05-11T13:09:52.08,Der_Kage,yeay amaz just what i need now
339,2018-05-11T13:09:53.61,SebiMk,Wowee Clap
340,2018-05-11T13:09:53.91,nighthawk745,is this pepe free stream ? monkaS
341,2018-05-11T13:09:55.33,ben10hawkins,blink fox can get hero cards LUL
342,2018-05-11T13:09:56.78,Kel_Ebek,amazGasm ass
343,2018-05-11T13:09:58.79,Babyghostlier,Go all golden.....
344,2018-05-11T13:10:00.01,lightshad3z,ass gachiGASM
345,2018-05-11T13:10:01.07,Blinking__Henry,DansGame craft golden Buccaneer
346,2018-05-11T13:10:02.01,spikebaal,KappaPride ass
347,2018-05-11T13:10:04.64,Agera153,amazBASS
348,2018-05-11T13:10:05.25,vRexXyy,gachiGASM
349,2018-05-11T13:10:05.56,suprise_party,ASS ASS IN ATE
350,2018-05-11T13:10:06.81,RoseMemories,always ass
351,2018-05-11T13:10:07.30,kevandaweeb,@nighthawk745 no monkaGun
352,2018-05-11T13:10:09.67,sillywalnut,ASS KappaPride
353,2018-05-11T13:10:11.53,72oxDays,ass dude
354,2018-05-11T13:10:11.59,Yuri_Boiko,amazBASS
355,2018-05-11T13:10:13.80,HappyFrogman,@AmazHS June 19th
356,2018-05-11T13:10:14.22,nevermore8,gachiGASM ass
357,2018-05-11T13:10:19.5,BIG_ZENG,gachiHop ass
358,2018-05-11T13:10:23.,mamdoh123,Echo
359,2018-05-11T13:10:24.65,sherman0288,ASS
360,2018-05-11T13:10:25.24,spikebaal,gachiKappa Ass
361,2018-05-11T13:10:25.37,nighthawk745,@kevandaweeb monkaStare dont point this thing at me
